576,129
692,670
873,481
201,101
595,492
308,287
322,238
437,192
669,294
386,417
198,407
862,290
873,243
20,693
83,20
978,186
785,456
636,678
526,42
143,545
250,136
494,599
522,134
376,685
240,618
785,176
309,90
808,536
620,180
37,32
382,19
439,675
31,357
465,217
953,636
106,279
634,353
863,205
4,281
261,349
91,495
557,258
107,28
69,648
998,314
891,506
981,167
259,400
800,473
487,391
689,592
730,71
122,442
699,20
336,573
525,326
926,567
983,602
312,451
578,138
219,32
833,182
298,526
157,384
131,678
528,576
588,171
447,229
635,414
705,437
748,455
684,222
248,462
541,471
545,257
395,30
440,649
574,238
861,436
736,277
253,670
844,474
219,498
876,507
883,486
749,145
713,161
428,269
586,73
413,280
794,155
602,475
285,253
178,695
458,246
733,356
87,581
288,459
357,561
349,221
