256,216
258,216
263,217
271,223
270,221
276,229
281,231
283,238
277,251
271,258
275,257
276,254
278,254
284,237
283,240
280,246
285,245
285,255
280,251
262,262
265,257
224,267
213,254
212,237
238,241
250,224
249,213
255,223
248,219
239,217
234,217
227,224
215,225
208,233
218,228
223,229
226,225
224,215
217,226
223,222
228,218
246,216
235,215
237,225
228,219
230,220
242,223
241,225
260,221
265,224
262,226
267,228
274,228
273,237
277,235
270,245
277,236
276,239
275,240
272,247
266,249
264,252
275,253
266,256
262,259
251,263
240,266
234,267
231,269
231,269
247,264
255,261
217,268
217,257
219,260
215,260
213,249
210,242
212,235
218,234
226,235
229,232
231,230
236,227
232,235
228,237
216,237
218,245
219,244
221,239
224,240
218,247
221,260
218,257
225,248
225,247
222,256
223,252
230,244
232,232
241,231
235,234
250,230
249,230
256,229
261,231
271,234
269,235
266,238
262,235
252,237
251,236
248,237
242,237
245,229
234,223
256,240
255,233
263,241
265,243
264,247
259,250
258,257
269,249
272,251
249,258
240,257
236,260
233,262
229,262
228,262
217,261
217,262
224,255
230,253
232,255
235,249
236,245
237,242
243,247
242,246
250,242
253,246
254,245
252,250
262,243
257,255
253,253
241,258
239,254
250,256
247,253
245,248
245,242
135,272
150,279
151,277
137,254
145,245
149,251
170,242
150,261
148,304
180,264
146,300
188,307
142,272
173,281
148,281
170,274
201,341
179,345
206,330
175,341
199,305
194,326
197,332
203,324
226,342
248,351
223,345
234,324
228,322
217,356
238,329
212,338
282,341
297,326
268,347
272,364
258,360
271,337
294,331
294,347
339,361
317,345
350,361
348,336
310,347
316,346
332,324
342,321
353,342
371,322
352,336
377,339
367,324
353,323
346,314
368,302
375,281
366,288
368,298
337,298
366,295
369,292
372,283
345,265
334,293
306,293
307,290
310,288
313,287
314,328
313,328
322,291
256,328
278,305
257,298
248,325
274,298
281,331
239,301
281,316
332,252
346,239
344,235
326,230
332,267
333,234
343,244
341,230
393,243
359,265
360,274
351,252
368,267
387,256
351,245
380,263
326,208
326,215
352,216
334,184
338,195
323,227
365,222
346,206
393,213
389,215
368,207
354,185
373,210
370,194
368,184
350,215
344,153
317,164
351,134
346,171
329,147
313,176
311,165
314,136
285,146
307,156
267,134
302,143
270,175
271,143
289,157
281,170
260,138
264,168
246,161
269,139
238,161
265,159
254,153
254,178
209,130
201,139
222,156
214,134
215,141
206,132
195,172
191,165
211,164
189,191
201,157
188,156
211,185
194,177
220,172
216,159
193,184
190,198
163,197
185,170
180,200
154,180
157,210
176,180
160,221
139,219
152,205
143,215
173,246
157,230
169,203
165,206
193,304
162,306
152,299
186,313
186,317
172,327
157,327
170,298
314,200
301,189
291,174
261,184
281,197
274,188
296,198
301,215
280,210
264,197
243,194
234,177
226,195
209,202
198,215
181,214
179,230
188,233
193,249
200,265
188,276
194,291
205,285
217,285
233,285
251,281
218,304
260,316
296,305
314,307
278,281
266,280
282,271
302,269
290,290
293,288
313,255
315,244
313,230
305,235
293,251
294,224
